Word,Frequency
the,4185
and,2643
to,2584
in,2582
of,2352
we,1378
that,1295
are,1163
a,1090
for,1041
this,896
is,817
as,805
our,805
have,611
with,579
school,546
be,544
case,531
week,514
transmission,511
will,496
incidence,458
from,421
more,394
these,391
covid,379
testing,374
on,357
new,353
has,332
counties,331
many,330
weeks,325
schools,322
not,321
s,315
rates,312
their,306
19,302
areas,301
children,296
but,292
risk,282
it,276
at,268
or,262
some,260
positivity,254
last,254
across,243
can,238
now,236
cases,234
data,229
by,226
also,226
individuals,225
over,223
than,220
which,220
hospitalizations,215
may,215
000,214
been,211
country,206
all,206
they,201
continue,198
pandemic,194
states,181
see,179
weekly,176
an,176
most,175
while,175
community,175
high,173
time,170
hospital,165
communities,163
test,161
were,161
health,160
students,160
100,159
vaccination,159
1,156
other,153
per,152
there,152
numbers,151
next,151
year,149
during,148
even,147
models,146
if,141
when,139
throughout,138
still,137
would,136
region,135
those,135
staff,135
likely,134
fall,129
increasing,123
state,123
safety,123
was,121
reproduction,120
seeing,119
how,118
should,118
public,118
projections,117
increased,114
increases,113
forecasts,113
however,112
county,111
where,111
distancing,111
vaccine,110
who,110
had,109
past,109
day,109
resurgence,108
coming,108
regions,107
well,107
model,106
york,105
masking,103
about,101
city,101
continued,100
census,100
winter,98
average,98
what,98
holiday,98
among,98
much,98
midwest,97
into,97
declining,97
need,97
vaccinated,97
spring,97
rate,96
summer,96
particularly,96
local,95
early,95
number,95
outbreaks,94
one,93
south,93
two,93
return,93
only,92
increase,91
below,91
us,89
infection,89
through,88
national,87
northeast,87
project,85
remain,85
like,85
quickly,85
decline,84
just,84
plans,84
disease,83
families,83
four,82
adult,82
trends,82
residents,81
evidence,81
guidance,81
team,80
reopening,80
peak,79
mitigation,79
such,79
additional,78
up,78
2,77
admissions,76
could,76
nearly,76
important,76
mask,76
around,74
area,74
before,73
after,72
declines,71
growth,71
including,71
daily,70
emergency,70
out,70
within,70
strategies,70
so,69
remains,69
its,68
virus,68
florida,68
adults,67
few,67
department,66
social,66
southeast,65
care,65
again,64
5,64
first,64
level,64
tests,64
growing,63
texas,63
outlook,62
example,62
might,62
down,61
similar,61
help,61
gatherings,61
lab,60
significant,60
people,60
locations,60
re,59
california,59
higher,59
person,59
mid,58
variant,58
back,58
leaders,58
protocols,58
weather,57
cities,57
visits,57
no,57
north,57
weekend,57
cdc,57
move,57
atlantic,56
michigan,56
continues,56
pediatric,56
further,56
each,56
large,56
positive,55
lower,55
follow,55
both,55
districts,55
period,54
metropolitan,54
provide,54
pcr,53
include,53
patients,53
very,53
already,53
do,53
less,53
saw,52
since,52
hospitalization,52
potential,52
philadelphia,52
instruction,52
infected,51
being,51
overall,51
along,51
following,51
upper,50
peaks,50
recent,50
them,50
approach,49
experiencing,49
here,49
spread,49
substantial,49
possible,49
50,48
given,48
washington,47
10,47
use,47
based,47
colorado,46
season,46
severe,46
yet,46
months,46
rapid,46
quarantine,46
assurance,46
suggest,45
learning,45
teachers,45
i,45
any,45
others,45
rising,45
access,45
asymptomatic,45
greater,45
education,45
seen,44
low,44
beginning,44
pennsylvania,44
related,43
northern,43
sustained,43
youth,43
improvements,43
challenges,43
activities,43
programs,43
restrictions,43
u,42
concerns,42
counts,42
between,42
update,42
carolina,42
university,42
whether,42
above,41
far,41
you,41
west,41
policylab,41
thanksgiving,41
college,41
forecasting,40
days,40
long,40
centers,40
different,40
impacts,40
reopen,40
every,39
current,39
moving,39
sars,39
cov,39
concern,39
travel,39
begin,39
consider,39
control,39
limited,39
couple,38
regional,38
experience,38
ve,38
full,38
population,38
12,38
virginia,38
measure,37
flat,37
support,37
because,37
mandates,37
surge,37
vaccines,36
reporting,36
40,36
near,36
come,36
work,36
prior,36
optimism,36
point,36
enforcement,36
highest,35
although,35
members,35
own,35
3,35
businesses,35
family,35
safely,35
under,35
best,35
open,35
pacific,34
northwest,34
show,34
take,34
beyond,34
soon,34
vaccinations,34
hospitalized,34
masks,34
departments,34
safe,34
recovery,34
widespread,34
holidays,33
forecast,33
end,33
another,33
difficult,33
younger,33
infections,33
reported,33
concerning,33
efforts,33
gathering,33
levels,33
immunity,33
way,33
c,33
major,33
minnesota,32
reached,32
arizona,32
improving,32
experienced,32
least,32
review,32
compared,32
finally,32
returning,32
normal,32
7,32
e,32
recommendations,32
despite,32
exposure,32
exposed,32
icu,32
wave,32
mountain,31
southwest,31
200,31
illinois,31
forward,31
impact,31
better,31
fully,31
alongside,31
behind,31
larger,31
measures,31
settings,31
strong,31
included,30
nation,30
same,30
age,30
rise,30
clear,30
allow,30
make,30
projected,30
emerging,30
program,30
colder,29
monitoring,29
must,29
too,29
ohio,29
variants,29
prevention,29
hope,29
d,29
ace,29
home,29
updates,28
ago,28
late,28
parts,28
thus,28
respiratory,28
effective,28
25,28
suspect,28
future,28
burden,28
georgia,28
tennessee,28
ahead,28
omicron,28
stay,28
crisis,28
against,27
reducing,27
recognize,27
post,27
findings,27
indiana,27
southern,27
therefore,27
become,27
seasonal,27
older,27
several,27
capacity,27
individual,27
until,27
close,27
reduce,27
able,27
classroom,27
temperatures,27
response,27
result,26
protect,26
strategy,26
toward,26
longer,26
led,26
denver,26
strains,26
unvaccinated,26
contact,26
houston,26
factors,26
sports,26
uncertainty,25
modeling,25
closely,25
los,25
angeles,25
30,25
lead,25
jersey,25
events,25
break,25
enough,25
t,25
monitor,25
approaches,25
periods,25
requirements,25
needs,25
effects,25
without,25
start,24
month,24
coverage,24
stable,24
news,24
half,24
once,24
corridor,24
opportunity,24
4,24
fewer,24
highly,24
san,24
does,24
questions,24
protection,24
classrooms,24
elementary,24
declined,23
chicago,23
watching,23
relatively,23
majority,23
signs,23
wearing,23
often,23
epidemic,23
atlanta,23
critical,23
indoor,23
labor,23
updated,23
improve,23
available,23
encourage,23
currently,23
includes,23
deaths,23
why,23
confidence,23
providing,23
get,23
cannot,22
earlier,22
note,22
decisions,22
parents,22
focus,22
potentially,22
essential,22
navigate,22
plan,22
noted,22
look,22
require,22
massachusetts,22
results,22
wisconsin,21
estimates,21
slower,21
received,21
expect,21
years,21
child,21
20,21
500,21
g,21
using,21
concerned,21
15,21
made,21
k,21
christmas,21
suggesting,21
january,21
commitment,21
observed,21
100k,21
alabama,21
occur,21
colleges,21
dropped,20
blog,20
united,20
strain,20
believe,20
anticipate,20
double,20
done,20
slowly,20
cautious,20
rapidly,20
occupancy,20
your,20
needed,20
change,20
did,20
march,20
beach,20
humidity,20
antigen,20
largest,20
remained,19
appears,19
place,19
second,19
821,19
maryland,19
400,19
2020,19
young,19
thresholds,19
clearly,19
reach,19
learned,19
fortunately,19
louisiana,19
mississippi,19
moment,19
learn,19
island,19
virtual,19
campus,19
improved,19
modest,19
utah,18
grow,18
improvement,18
fact,18
challenging,18
lives,18
95,18
specific,18
boroughs,18
especially,18
six,18
occurring,18
seattle,18
sizes,18
changes,18
provided,18
offer,18
surrounding,18
phoenix,18
leading,18
attention,18
though,18
district,18
worsening,18
campuses,18
linked,18
temperature,18
camp,18
greatest,17
lake,17
certainly,17
vaccinating,17
6,17
vulnerable,17
february,17
rather,17
required,17
proportion,17
southeastern,17
appear,17
certain,17
guidelines,17
miami,17
becoming,17
tracing,17
falling,17
value,17
coast,17
optimistic,17
keeping,17
particular,17
reports,17
outdoor,17
outbreak,17
viral,17
boston,17
officials,17
conditions,17
third,16
mexico,16
specifically,16
places,16
necessary,16
distribution,16
identify,16
know,16
england,16
slightly,16
said,16
restaurants,16
moved,16
receive,16
themselves,16
working,16
having,16
neighboring,16
found,16
additionally,16
effect,16
small,16
illness,16
encouraged,16
hopeful,16
symptoms,16
special,16
sufficient,16
dallas,16
analysis,16
non,16
300,16
limit,16
vigilance,16
kansas,16
destinations,16
memorial,16
projecting,16
degree,16
reaching,16
tested,16
policy,16
find,16
question,16
towns,16
reopenings,16
nationwide,16
magnitude,15
order,15
hampshire,15
0,15
indicating,15
70,15
80,15
later,15
benefits,15
group,15
baltimore,15
serve,15
reduced,15
began,15
associated,15
considered,15
hospitals,15
presence,15
creating,15
add,15
recently,15
used,15
resources,15
bring,15
sense,15
planning,15
upon,15
study,15
adding,15
then,15
flexibility,15
common,15
provides,15
pace,15
continuing,14
8,14
vermont,14
dakota,14
previous,14
60,14
reviewing,14
welcome,14
risks,14
starting,14
exceeding,14
central,14
contributing,14
report,14
pre,14
making,14
resume,14
natural,14
policies,14
crowded,14
maintain,14
ll,14
screening,14
collar,14
system,14
worst,14
symptomatic,14
addition,14
understand,14
frequent,14
advance,14
stalled,14
goal,14
relative,14
surveillance,14
key,14
off,14
ultimately,14
systems,14
situation,14
mindful,14
allowing,14
decision,14
behavioral,14
worsened,14
let,13
elevated,13
september,13
doubling,13
makes,13
increasingly,13
phase,13
main,13
total,13
measured,13
evident,13
due,13
approaching,13
benefit,13
surges,13
spreading,13
patterns,13
ability,13
surpassed,13
negative,13
ensure,13
revealed,13
unique,13
avoid,13
nationally,13
never,13
helpful,13
added,13
date,13
predict,13
portland,13
mean,13
balance,13
ground,13
term,13
process,13
preparing,13
iowa,13
success,13
employees,13
looking,13
journey,13
achieve,13
part,13
feel,13
heartland,13
task,13
equilibrium,13
camps,13
9,12
concentrated,12
november,12
bear,12
slow,12
likelihood,12
enter,12
latter,12
exceeded,12
detroit,12
patience,12
appropriate,12
workers,12
three,12
hopefully,12
american,12
august,12
carolinas,12
kentucky,12
keep,12
changing,12
2021,12
thirds,12
witnessed,12
chop,12
adolescents,12
schooling,12
itself,12
furthermore,12
viruses,12
wear,12
times,12
personal,12
simply,12
multiple,12
identified,12
five,12
real,12
december,12
going,12
suggests,12
little,12
nearing,12
molecular,12
recognizing,12
short,12
layer,12
surging,12
bars,12
true,12
away,12
feet,12
allowed,12
missouri,12
getting,12
demonstrating,12
protecting,12
kids,12
absolute,11
lowest,11
salt,11
rest,11
begins,11
dose,11
indoors,11
administration,11
regarding,11
mortality,11
secondary,11
footing,11
participation,11
effort,11
unchanged,11
released,11
caution,11
known,11
largely,11
practices,11
finding,11
services,11
practical,11
detected,11
good,11
progress,11
confident,11
sun,11
stabilization,11
focused,11
course,11
importantly,11
worse,11
reveal,11
drop,11
antonio,11
remainder,11
warmer,11
opening,11
vacation,11
bit,11
reopened,11
today,11
hygiene,11
facilities,11
play,11
bus,11
achieved,11
populations,11
size,11
recommended,11
exceed,11
athletes,11
extracurricular,11
dynamics,11
forecasted,11
vaccinate,11
context,11
urban,11
begun,11
delays,11
force,11
helping,11
rural,11
policymakers,11
layered,11
await,10
quarter,10
250,10
idaho,10
worsen,10
geographic,10
censuses,10
impacted,10
mild,10
physical,10
delaware,10
st,10
bay,10
transmissible,10
right,10
ever,10
accelerating,10
present,10
pressure,10
transition,10
rose,10
told,10
challenge,10
offered,10
isolation,10
consistent,10
90,10
possibility,10
lag,10
inform,10
beds,10
means,10
decreasing,10
points,10
create,10
belt,10
stabilizing,10
reassuring,10
austin,10
mo,10
comes,10
vigilant,10
share,10
choose,10
easy,10
galveston,10
understanding,10
whole,10
perhaps,10
prioritizing,10
face,10
federal,10
regular,10
watch,10
step,10
prevent,10
try,10
threshold,10
arrive,10
put,10
minneapolis,10
considering,10
great,10
multi,10
building,10
prepare,10
substantially,10
smaller,10
ece,10
availability,10
arrival,10
rhode,10
published,10
occurred,10
uncertain,9
alaska,9
800,9
showing,9
maine,9
hit,9
variation,9
endemic,9
reasons,9
emerge,9
connecticut,9
600,9
stabilize,9
valley,9
springs,9
sacramento,9
homes,9
surprised,9
build,9
offering,9
unfortunately,9
75,9
slowing,9
outside,9
doubled,9
routines,9
set,9
requires,9
mostly,9
consequences,9
knowledge,9
experts,9
prolonged,9
shifting,9
direction,9
student,9
signals,9
mitigate,9
space,9
adjacent,9
variable,9
carefully,9
estimate,9
contagious,9
eliminate,9
northeastern,9
rim,9
east,9
circulating,9
novel,9
interpretation,9
universities,9
detecting,9
orleans,9
head,9
meanwhile,9
hotspots,9
july,9
metro,9
activity,9
nature,9
shore,9
reasonable,9
room,9
assuming,9
issues,9
funding,9
widely,9
limitations,9
financial,9
maintaining,9
trying,9
ourselves,9
ga,9
say,9
rs,9
ind,9
va,9
shift,9
achieving,9
middle,9
started,9
morbidity,9
allows,9
information,9
unlikely,9
path,9
assess,9
oregon,9
happening,9
teams,9
window,9
tell,9
validation,9
montana,8
wider,8
climbing,8
developing,8
accompanied,8
11,8
media,8
700,8
type,8
campaigns,8
americans,8
highlighting,8
16,8
warning,8
witnessing,8
urge,8
corner,8
seem,8
groups,8
decrease,8
effectiveness,8
receiving,8
confirm,8
action,8
sometimes,8
picture,8
abated,8
outlier,8
amongst,8
accelerated,8
2022,8
taking,8
somewhat,8
milder,8
clinical,8
closures,8
influenza,8
buildings,8
regardless,8
timing,8
symptom,8
assume,8
absence,8
develop,8
complete,8
followed,8
pose,8
trial,8
interventions,8
posts,8
conducted,8
faced,8
trend,8
entire,8
guard,8
top,8
francisco,8
indianapolis,8
wish,8
metrics,8
opportunities,8
either,8
reminder,8
tampa,8
big,8
densely,8
louis,8
midwestern,8
go,8
nursing,8
subsequent,8
mass,8
observing,8
coronavirus,8
nevada,8
tools,8
entirely,8
confer,8
priority,8
limiting,8
private,8
importance,8
seek,8
fallen,8
hybrid,8
resuming,8
persist,8
infectious,8
violence,8
evolving,8
accelerate,8
herd,8
expected,8
minimize,8
online,8
predicted,8
helped,8
unmasked,8
reason,8
strengthen,8
side,8
