Word,Frequency
school,868
week,839
case,765
transmission,511
incidence,458
county,442
rate,408
covid,379
area,375
testing,374
new,353
community,338
many,330
child,317
state,304
19,302
risk,296
hospitalization,267
positivity,254
last,254
model,252
individual,252
number,246
across,243
region,242
data,229
also,226
test,225
may,215
000,214
country,208
increase,204
continue,198
pandemic,195
vaccination,193
time,182
hospital,180
see,179
weekly,176
high,173
year,170
student,169
health,160
100,159
city,158
1,156
decline,155
per,152
next,151
adult,149
day,149
even,147
vaccine,146
forecast,146
throughout,138
still,137
would,136
staff,135
likely,134
fall,131
holiday,131
u,131
peak,129
increasing,123
safety,123
need,122
infection,122
reproduction,120
seeing,119
projection,118
family,118
public,118
increased,114
however,112
distancing,111
outbreak,111
census,110
mask,110
past,109
resurgence,108
coming,108
well,107
spring,106
plan,106
york,105
masking,103
average,102
continued,100
department,100
winter,99
return,99
one,98
among,98
much,98
midwest,97
declining,97
summer,97
vaccinated,97
level,97
strategy,96
particularly,96
local,95
early,95
gathering,94
south,93
two,93
trend,90
project,89
disease,89
team,89
national,87
northeast,87
variant,87
remain,85
like,85
quickly,85
four,82
resident,81
concern,81
evidence,81
guidance,81
virus,80
reopening,80
period,79
mitigation,79
additional,78
admission,78
2,77
could,76
nearly,76
important,76
approach,74
around,74
district,73
program,73
emergency,72
growth,71
impact,71
including,71
update,70
month,70
daily,70
within,70
remains,69
measure,68
florida,68
example,67
social,66
care,66
southeast,65
location,64
5,64
first,64
outlook,63
growing,63
help,63
texas,63
might,62
college,62
similar,61
improvement,61
visit,61
weekend,61
lab,60
significant,60
people,60
california,59
higher,59
person,59
move,59
leader,59
protocol,59
mid,58
back,58
weather,57
lower,57
north,57
cdc,57
positive,56
atlantic,56
michigan,56
continues,56
pediatric,56
large,56
follow,55
patient,54
carolina,54
metropolitan,54
provide,54
pcr,53
include,53
already,53
le,53
challenge,53
instruction,53
saw,52
since,52
season,52
potential,52
philadelphia,52
activity,52
infected,51
spread,51
overall,51
along,51
following,51
quarantine,51
university,51
classroom,51
upper,50
begin,50
recent,50
surge,50
experiencing,49
substantial,49
population,49
possible,49
50,48
result,48
teacher,48
given,48
washington,47
10,47
use,47
based,47
colorado,46
severe,46
strain,46
yet,46
come,46
rapid,46
point,46
assurance,46
suggest,45
learning,45
others,45
rising,45
access,45
asymptomatic,45
greater,45
education,45
temperature,45
seen,44
low,44
experience,44
beginning,44
effort,44
pennsylvania,44
related,43
count,43
northern,43
make,43
sustained,43
youth,43
restriction,43
support,42
center,42
whether,42
part,41
far,41
business,41
mandate,41
effect,41
west,41
policylab,41
thanksgiving,41
forecasting,40
take,40
travel,40
long,40
way,40
different,40
reopen,40
question,40
every,39
show,39
current,39
moving,39
recommendation,39
sars,39
cov,39
member,39
consider,39
control,39
limited,39
couple,38
regional,38
wave,38
finding,38
home,38
full,38
work,38
12,38
virginia,38
change,38
flat,37
review,37
setting,37
exposure,37
campus,37
reporting,36
40,36
age,36
near,36
decision,36
prior,36
optimism,36
enforcement,36
open,36
highest,35
place,35
end,35
although,35
post,35
3,35
safely,35
best,35
pacific,34
northwest,34
beyond,34
soon,34
hospitalized,34
safe,34
recovery,34
widespread,34
mountain,33
another,33
difficult,33
younger,33
reported,33
concerning,33
rise,33
immunity,33
c,33
icu,33
major,33
response,33
minnesota,32
reached,32
arizona,32
improving,32
experienced,32
least,32
lead,32
compared,32
finally,32
returning,32
normal,32
7,32
e,32
opportunity,32
despite,32
exposed,32
southwest,31
200,31
illinois,31
forward,31
report,31
better,31
fully,31
alongside,31
behind,31
larger,31
contact,31
strong,31
crisis,31
camp,31
included,30
estimate,30
nation,30
death,30
event,30
clear,30
allow,30
policy,30
requirement,30
projected,30
emerging,30
colder,29
monitoring,29
must,29
corridor,29
ohio,29
threshold,29
prevention,29
hope,29
size,29
ace,29
stay,29
uncertainty,28
third,28
ago,28
late,28
thus,28
benefit,28
respiratory,28
effective,28
25,28
break,28
suspect,28
future,28
burden,28
epidemic,28
georgia,28
tennessee,28
ahead,28
omicron,28
system,28
factor,28
start,27
reducing,27
recognize,27
note,27
indiana,27
southern,27
therefore,27
become,27
seasonal,27
older,27
several,27
capacity,27
close,27
reduce,27
able,27
sport,27
protect,26
look,26
toward,26
longer,26
led,26
denver,26
unvaccinated,26
monitor,26
houston,26
get,26
modeling,25
closely,25
los,25
angeles,25
30,25
half,25
reach,25
jersey,25
sign,25
enough,25
protection,25
without,25
coverage,24
stable,24
news,24
4,24
fewer,24
symptom,24
highly,24
commitment,24
san,24
elementary,24
